Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time,Ranks and Genre,Rank,Genre,Cluster,Cluster_overall
the holy bible in audio king james version the complete old new testament,king james version,4.4,994.0,1055,king james version continued day one beloved widely sought-after translations bible english language 400 years old king james version shaping christians centuries majesty solemnity,72 hours and 1 minute,",#783 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Bibles,#109 in Christianity (Books),#8,161 in Textbooks & Study Guides",783,"bibles,christianity,textbooks study guides",5,0
trading beyond the matrix the red pill for traders and investors,van tharp,3.9,113.0,836,transform trading results transforming,11 hours and 55 minutes,",#1,513 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#59 in Personal Finance,#3,325 in Personal Development & Self-Help",1513,"personal development selfhelp,personal finance",7,1
black friday the true story of the bombay bomb blasts,hussain zaidi,4.5,96.0,879,black friday hussain zaidi ghastly account one biggest terrorist attacks bombay 1993. book chronicles devastation caused life property due attacks trauma physical mental undergone people large post terrorist attacks consequent rift communities hindu muslims hatred clashes often turned extremely violent,9 hours and 3 minutes,",#2,140 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Terrorism,#17 in Political Freedom & Security (Audible Audiobooks & Originals),#21 in United States Politics & Government",2140,"political freedom security,terrorism,united states politics government",6,9
behavioral economics when psychology and economics collide,scott huettel,4.042091434576984,1481.8928778228142,1171,behavioral economics study decision making related themes valuation exchange interpersonal interactions using methods psychology sociology neurology economics behavioral economics sheds light one fundamental activities human life decision process 24 insightful lectures youll learn behavioral economists look decision making explore set key principles offer deep insight evaluate information integrate different factors make decisions important using real-life illustrations case studies lecture offers practical tools understand patterns decision making purposes serve use knowledge make better satisfying decisions,11 hours and 58 minutes,",#914 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#32 in Economics (Audible Audiobooks & Originals),#421 in Economics Books,#9,592 in Textbooks & Study Guides",914,"economics,economics books,textbooks study guides",7,5
rule 1 the simple strategy for successful investing in only 15 minutes a week,phil town,4.6,677.0,1149,"book ill show turned 1,000 1 million five years proceeded make many millions came investing person wasnt great math possessed zero extra cash wanted life extra three hours work every day",11 hours and 29 minutes,",#882 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Money Management,#50 in Investing & Trading,#107 in Personal Success in Business",882,"investing trading,money management,personal success in business",7,0
secrets of health from the indian kitchen,ratna rajaiah,4.5,4.0,836,know couple bananas day lower blood pressure 19th-century sailors used eat potatoes fight scurvy ayurveda considers rice perfect healing food turmeric could anti-carcinogenic properties urad dal aphrodisiac,11 hours and 57 minutes,",#2,439 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Cooking,#634 in Food, Drink & Entertaining (Books),#1,894 in Healthy Living & Wellness",2439,"cooking,food,healthy living wellness",9,9
the hero with a thousand faces,joseph campbell,4.6,1592.0,1005,since release 1949 hero thousand faces influenced millions readers combining insights modern psychology joseph campbells revolutionary understanding comparative mythology book campbell outlines heros journey universal motif adventure transformation runs virtually worlds mythic traditions also explores cosmogonic cycle mythic pattern world creation destruction,14 hours and 37 minutes,",#1,599 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Folklore & Mythology Studies,#2 in Freudian Theory,#6 in Mythology & Folklore Encyclopedias",1599,"folklore mythology studies,freudian theory,mythology folklore encyclopedias",5,4
the five rules for successful stock investing morningstars guide to building wealth and winning in the market,pat dorsey,4.6,234.0,836,years people around world turned morningstar strong independent reliable advice five rules successful stock investing provides kind savvy financial guidance company like morningstar could offer based philosophy `` investing fun game '' comprehensive guide put even cautious investors back right track helping pick right stocks find great companies understand driving forces behind different industries without paying much investments,11 hours and 53 minutes,",#125 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Stocks,#10 in Personal Finance,#242 in Analysis & Strategy",125,"analysis strategy,personal finance,stocks",7,9
wonder,r j palacio,4.7,1481.8928778228144,888,soon major film starring julia roberts owen wilson jacob tremblay,8 hours and 5 minutes,",#3,288 in Children's Literature & Fiction (Books)",3288,childrens literature fiction,2,4
business sutra a very indian approach to management,devdutt pattanaik,4.5,205.0,836,landmark book best-selling author leadership coach mythologist devdutt pattanaik shows despite veneer objectivity modern management rooted western beliefs obsessed accomplishing rigid objectives increasing shareholder value contrast indian way business apparent indian mythology longer seen practice accommodates subjectivity diversity offers inclusive empathetic way achieving success great value placed darshan see world relationship lakshmi goddess wealth,11 hours and 26 minutes,",#2,027 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#98 in Leadership,#105 in Business Management,#3,215 in Analysis & Strategy",2027,"analysis strategy,business management,leadership",5,9
zero limits the secret hawaiian system for wealth health peace and more,joe vitale,4.4,892.0,703,seems like work hard never get anywhere maybe problem something within maybe limitations holding back come inside outside world zero limits presents proven way break self-imposed limitations achieve life ever dreamed,6 hours and 21 minutes,",#1,387 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#16 in Small Businesses,#47 in Business Motivation & Self-Improvement,#55 in Personal Finance",1387,"business motivation selfimprovement,personal finance,small businesses",7,9
summary of principles life and work by ray dalio,in a nutshell publishings,4.3,34.0,132,summary principles life work ray dalio,56 minutes,",#1,210 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#197 in Personal Success,#2,755 in Personal Development & Self-Help",1210,"personal development selfhelp,personal success",9,7
what i know for sure,oprah winfrey,4.7,2169.0,323,inspirational wisdom oprah winfrey collected first time beautiful book film critic gene siskel asked know sure oprah winfrey began writing know sure column oprah magazine saying question offered way take stock life oprah penned one column month last 14 years years retired oprah winfrey show highest-rated program kind history launched television network became americas black billionaire awarded honorary degree harvard university presidential medal freedom watched friends colleagues come go lost beloved pets adopted new ones celebrated milestone birthdays throughout shes continued offer profound inspiring words wisdom know sure column oprah magazine first time thoughtful gems revised updated collected know sure beautiful book packed insight revelation oprah winfrey organized theme joy resilience connection gratitude possibility awe clarity power essays offer rare powerful glimpse mind one worlds extraordinary women candid moving exhilarating uplifting dynamic words oprah shares know sure shimmer sort wisdom truth listeners turn,3 hours and 53 minutes,",#1,993 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#23 in Self-Esteem,#27 in Literary Essays,#293 in Personal Success",1993,"literary essays,personal success,selfesteem",9,4
coaching for performance fourth edition growing human potential and purpose the principles and practice of coaching and leadership,john whitmore,4.5,185.0,680,coaching way managing way treating people way thinking way coaching matured invaluable profession fit times fourth edition widely read coaching book takes next frontier,7 hours and 1 minute,",#1,764 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#11 in Mentoring & Coaching,#20 in Business Development (Audible Audiobooks & Originals),#90 in Leadership",1764,"business development,leadership,mentoring coaching",7,9
13 things mentally strong people dont do take back your power embrace change face your fears and train your brain for happiness and success,amy morin,4.6,1365.0,1002,everyone knows regular exercise weight training lead physical strength strengthen mentally truly tough times face challenges psychotherapist amy morin asks avoid encounter adversity years counseling others experiences navigating personal loss morin realized often habits break holding us back true success happiness indulging self-pity agonizing things beyond control obsessing past events resenting achievements others expecting immediate positive results hold us back,6 hours and 36 minutes,",#1,977 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#59 in Business Motivation & Self-Improvement,#291 in Personal Success,#3,126 in Analysis & Strategy",1977,"analysis strategy,business motivation selfimprovement,personal success",9,0
self leadership and the one minute manager gain the mindset and skillset for getting what you need to succeed,ken blanchard,4.7,84.0,1002,twenty years creating phenomenal best-selling classic one minute manager ken blanchard returns roots powerful essential title series explores skills needed empower success,2 hours and 39 minutes,",#681 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#10 in Business Development (Audible Audiobooks & Originals),#18 in Biographies of Business Leaders,#126 in Personal Success",681,"biographies of business leaders,business development,personal success",7,0
the stranger,albert camus,4.1,47.0,467,young algerian named meursault kills man subsequent imprisonment trial puzzling absurd apparently amoral meursault puts little stock ideas like love god seems trial less murderous actions authorities believe deficient character,3 hours and 27 minutes,",#398 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Art for Teens,#1 in History & Culture for Teens,#4 in Literature & Fiction for Teens",398,"art for teens,history culture for teens,literature fiction for teens",0,7
killing floor jack reacher book 1,lee child,4.4,1481.8928778228144,1093,brought penguin killing floor first instalment lee child ’ internationally popular jack reacher series read jeff harding,15 hours and 39 minutes,",#812 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#11 in Crime Thrillers,#13 in Suspense,#22 in Mysteries",812,"crime thrillers,mysteries,suspense",0,5
learn english with innovative languages proven language system level 5 advanced english,innovative language learning,4.5,5.0,0,congratulations discovered fastest fun way learn language ready discover secret language learning success simply use program find hundreds thousands language learners like already discovered power system program offers brand new way learn language youll speaking first lesson fun easy use innovative method,17 minutes,",#52 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in English Language Learning",5,english language learning,3,7
the undoing project a friendship that changed the world,michael lewis,4.3,1697.0,752,daniel kahneman amos tversky met war-torn 1960s israel gifted young psychology professors kahneman rootless son holocaust survivors saw world problem solved tversky voluble instinctual blur energy,10 hours and 17 minutes,",#2,058 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#33 in Business Decision Making & Problem Solving,#39 in Microeconomics (Books),#74 in Economics (Audible Audiobooks & Originals)",2058,"business decision making problem solving,economics,microeconomics",3,5
learn french with innovative languages proven language system level 3 beginner french beginner french 29,innovative language learning,4.042091434576984,1481.8928778228142,0,congratulations discovered fastest fun way learn language ready discover secret language learning success simply use program find hundreds thousands language learners like already discovered power system program offers brand new way learn language youll speaking first lesson fun easy use innovative method,16 minutes,",#41 Free in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in French Language Learning",2,french language learning,3,6
power vs force the hidden determinants of human behavior,dr david r hawkins,4.6,298.0,1148,analyzing basic nature human thought consciousness author makes available everyone key penetrating last barrier advancement civilization science resolving crucial human dilemmas instantly determine truth falsehood statement supposed fact,8 hours and 10 minutes,",#1,076 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#86 in Psychology (Audible Audiobooks & Originals),#11,668 in Textbooks & Study Guides",1076,"psychology,textbooks study guides",9,0
your brain at work strategies for overcoming distraction regaining focus and working smarter all day long,david rock,4.6,452.0,1002,meet emily paul parents two young children emily newly promoted vp marketing large corporation paul works home clients offices independent consultant lives like filled bewildering blizzard emails phone calls yet emails meetings projects proposals plans staying ahead storm become seemingly insurmountable task,9 hours and 42 minutes,",#669 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#15 in Business Decision Making & Problem Solving,#29 in Science,#46 in Earth Sciences Books",669,"business decision making problem solving,earth sciences books,science",7,0
my hanuman chalisa,devdutt pattnaik,4.5,409.0,501,reflecting one hinduism ’ popular prayers positive energy,4 hours and 39 minutes,",#1,482 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#32 in Hinduism (Audible Audiobooks & Originals),#1,118 in Hinduism (Books)",1482,"hinduism,hinduism",5,9
ulysses,james joyce,3.9,882.0,1338,blooms passionate wife molly conducts yet another illicit liasion concert manager bloom finds getting arguments drunken nationalists wild carousing excitable medical students rescuing stephen dedalus brawl returning basement kitchen,27 hours and 16 minutes,",#1,826 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#12 in Psychological Fiction,#29 in Psychological Thrillers,#91 in Classic Literature",1826,"classic literature,psychological fiction,psychological thrillers",2,5
killing commendatore,haruki murakami,4.4,884.0,1093,random house presents audiobook edition killing commendatore haruki murakami read kirby heyborne,28 hours and 27 minutes,",#1,883 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Magical Realism Fiction,#115 in Literary Fiction,#3,445 in Contemporary Fiction (Books)",1883,"contemporary fiction,literary fiction,magical realism fiction",1,0
on earth were briefly gorgeous,ocean vuong,4.5,1405.0,752,random house presents audiobook edition earth briefly gorgeous written read ocean vuong,7 hours and 19 minutes,",#1,925 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#117 in Literary Fiction,#3,536 in Contemporary Fiction (Books)",1925,"contemporary fiction,literary fiction",1,4
how to do nothing resisting the attention economy,jenny odell,4.3,374.0,645,galvanizing critique forces vying attention personal information redefines think productivity reconnects us environment reveals ’ distracted see world,8 hours and 10 minutes,",#2,057 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Environmental Conservation,#8 in Technology & Society,#14 in Nature & Ecology",2057,"environmental conservation,nature ecology,technology society",9,9
the family upstairs,lisa jewell,4.5,1481.8928778228144,888,brought penguin,9 hours and 37 minutes,",#1,614 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#9 in Espionage Thrillers,#25 in Psychological Thrillers,#40 in Crime Fiction",1614,"crime fiction,espionage thrillers,psychological thrillers",8,4
the dark forest the threebody problem book 2,cixin liu,4.6,1493.0,1192,trisolarian fleet left home world arrive four centuries time sophons extradimensional emissaries already motivation wallfacer project last-ditch defence grants four individuals almost absolute power design secret strategies hidden deceit misdirection,23 hours and 4 minutes,",#1,559 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#46 in Science Fiction (Audible Audiobooks & Originals),#321 in Science Fiction (Books),#1,020 in Fantasy (Books)",1559,"fantasy,science fiction,science fiction",0,0
what to expect the first year,heidi murkoff,4.7,2986.0,1002,things babies happily never change still arrive warm cuddly soft smelling impossibly sweet moms dads care brand new bundles baby joy changed — world ’ best-selling best-loved guide instructions babies ’ come with…but totally audio audible first time ever expect first year brought life engaging comforting narration author heidi murkoff accompanied full cast audio talent heidi enlivens empathetic reality-based advice practical tips reassuring support makes first year definitive must-have baby bible best ’ anywhere anytime — talking cheering long nights sometimes longer days crying jags gas blowout diapers nap strikes breastfeeding struggles stuffy noses teething much,36 hours and 47 minutes,",#409 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Parenting Infants & Toddlers,#12 in Relationships,#162 in Family & Relationships",409,"family relationships,parenting infants toddlers,relationships",2,8
shunya a novel,sri m,4.5,636.0,668,appears nowhere sleepy little neighbourhood suburban kerala calls shunya zero lunatic dark magician fraud avadhuta enlightened soul,7 hours and 3 minutes,",#1,078 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#11 in Contemporary Fiction (Audible Audiobooks & Originals),#1,979 in Contemporary Fiction (Books)",1078,"contemporary fiction,contemporary fiction",6,9
the stranger in my bed,shanaya taneja,4.042091434576984,273.0,233,new job beckons shanaya bangalore bags packed set new life wants pamper enjoy coz ’ last day delhi spent really good times,35 minutes,",#346 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Romance Anthologies & Short Stories,#6 in Contemporary Romance (Audible Audiobooks & Originals),#131 in Short Stories (Books)",346,"contemporary romance,romance anthologies short stories,short stories",6,7
close to the bone,lisa ray,4.5,103.0,1003,`` thrilling journey inwards much outwards .... must-read '' freida pinto,15 hours and 50 minutes,",#1,844 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#16 in Women Biographies,#2,220 in Biographies & Autobiographies (Books)",1844,"biographies autobiographies,women biographies",2,0
the cruel prince the folk of the air book 1,holly black,4.6,2456.0,1063,start thrilling new fantasy series best-selling author holly black mortal girl finds caught dangerous web royal faerie intrigue,12 hours and 36 minutes,",#1,827 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Epic Fantasy for Teens,#88 in Children's Mysteries & Curiosities (Books),#424 in Children's Family, Personal & Social Issues (Books)",1827,"childrens family,childrens mysteries curiosities,epic fantasy for teens",2,8
the mahabharata volume 1,bibek debroy translator,4.6,77.0,1382,mahabharata one greatest stories ever told,19 hours and 57 minutes,",#1,288 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#43 in Mysteries,#62 in Classic Literature,#1,001 in Hinduism (Books)",1288,"classic literature,hinduism,mysteries",5,0
the richest engineer mastering the art of wealth creation,abhishek kumar,4.5,134.0,668,story unravel secrets rich,6 hours and 21 minutes,",#713 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Money Management,#1,637 in Business & Economics,#1,740 in Personal Development & Self-Help",713,"business economics,money management,personal development selfhelp",2,9
permanent record,edward snowden,4.6,1481.8928778228144,323,edward snowden man risked everything expose us government ’ system mass surveillance reveals first time story life including helped build system motivated try bring,11 hours and 31 minutes,",#191 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Biographies of Activists,#1 in Biographies of Politicians,#2 in Privacy & Surveillance Studies",191,"biographies of activists,biographies of politicians,privacy surveillance studies",0,4
meditations,marcus aurelius,4.3,1481.8928778228144,99,written greek without intention publication roman emperor also philosopher meditations marcus aurelius ad 121-180 offer remarkable series challenging spiritual reflections exercises developed emperor struggled understand make sense universe,6 hours and 47 minutes,",#1,872 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#12 in Ethics & Morality Philosophy,#20,644 in Textbooks & Study Guides",1872,"ethics morality philosophy,textbooks study guides",5,6
the autobiography of benjamin franklin amazonclassics edition,benjamin franklin,4.3,2232.0,668,written 1717 1790 originally referred author simply memoirs benjamin franklin ’ autobiography considered pioneering example genre influential account american dream action franklin recounts early life inventions quest virtue self-improvement political achievements unfinished work vivid depiction life early america well relatable inspiring portrait one revolutionary thinkers,6 hours and 40 minutes,",#1,780 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#16 in Historical Biographies,#17 in Biographies of Politicians,#24 in Revolution Histories",1780,"biographies of politicians,historical biographies,revolution histories",3,8
the worry trick how your brain tricks you into expecting the worst and what you can do about it,david carbonell phd,4.4,406.0,668,truly danger brain simply `` tricked '' thinking worry trick psychologist anxiety expert david carbonell shows anxiety hijacks brain offers effective techniques help break cycle worry,6 hours and 7 minutes,",#1,895 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#11 in Anxiety Disorders,#136 in Earth Sciences Books,#144 in Psychology (Audible Audiobooks & Originals)",1895,"anxiety disorders,earth sciences books,psychology",9,9
technical analysis for dummies 3rd edition,barbara rockefeller,4.042091434576984,1481.8928778228142,703,simple straightforward guide fundamentals technical analysis,11 hours and 35 minutes,",#2,009 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#72 in Investing & Trading,#73 in Personal Finance,#3,193 in Analysis & Strategy",2009,"analysis strategy,investing trading,personal finance",7,5
competing in the age of ai strategy and leadership when algorithms and networks run the world,marco iansiti,4.7,100.0,586,industry industry data analytics ai-driven processes transforming nature work often still treat ai domain specific skill business function sector entered new era ai challenging concept firm ai-centric organizations exhibit new operating architecture redefining create capture share deliver value,9 hours and 38 minutes,",#1,108 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Data Science,#29 in Forecasting & Strategic Planning,#41 in Network Administration",1108,"data science,forecasting strategic planning,network administration",7,2
the indian army reminiscences reforms romance,h s panag,5.0,6.0,668,essays comprise indian army reminiscences reforms romance lieutenant general h. s. panag examines burning questions surrounding indian armed forces exploitation neo- nationalists intrusive media ’ projection army sole flag bearer patriotism obsession pakistan impending threat national security intense militarisation kashmir post abrogation article 370 equal opportunities women combat among issues,9 hours,",#2,180 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#34 in Military History (Audible Audiobooks & Originals),#317 in Military History (Books),#24,407 in Textbooks & Study Guides",2180,"military history,military history,textbooks study guides",6,2
silence the power of quiet in a world full of noise,thich nhat hanh,4.7,367.0,615,spend lot time looking happiness world right around us full wonder hearts minds full noise cant always hear call life love hear call respond need silence,3 hours and 19 minutes,",#2,014 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#18 in Spiritualism,#2,130 in Mind, Body & Spirit,#4,237 in Religion & Spirituality (Books)",2014,"mind,religion spirituality,spiritualism",9,2
the overstory,richard powers,4.4,675.0,1093,brought penguin,22 hours and 58 minutes,",#1,804 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Metaphysical & Visionary Fiction,#59 in Historical Fiction (Audible Audiobooks & Originals),#110 in Literary Fiction",1804,"historical fiction,literary fiction,metaphysical visionary fiction",8,0
dare to lead,brené brown,4.7,3445.0,888,brought penguin,8 hours and 10 minutes,",#446 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#24 in Leadership,#760 in Analysis & Strategy",446,"analysis strategy,leadership",8,8
smarter faster better the secrets of being productive,charles duhigg,4.5,723.0,752,international best seller power habit pulitzer prize-winning journalist charles duhigg explained smarter faster better applies relentless curiosity rigorous reporting rich storytelling explain get better things result groundbreaking exploration science productivity,10 hours and 22 minutes,",#1,843 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#8 in Time Management,#9 in Creativity,#31 in Business Decision Making & Problem Solving",1843,"business decision making problem solving,creativity,time management",3,9
tinker tailor soldier spy,john le carré,4.4,1042.0,1195,mr george smiley small podgy best middle-aged disillusioned wrestles idleness deserted beautiful wife also compassionate ruthless senior british intelligence officer short-lived retirement circus british secret service organisation situated london moscow centre infiltrated mole circus likely perpetrator karla smileys old adversary opposite number moscow dead night member cabinet offers smiley job clean stable whatever necessary becomes long bitter battle wits smiley master deceit enigmatic karla,12 hours and 48 minutes,",#1,394 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Espionage Thrillers,#14 in Contemporary Fiction (Audible Audiobooks & Originals),#22 in Crime Thrillers",1394,"contemporary fiction,crime thrillers,espionage thrillers",2,0
tinker tailor soldier spy,john le carré,4.4,1042.0,1195,mr george smiley small podgy best middle-aged disillusioned wrestles idleness deserted beautiful wife also compassionate ruthless senior british intelligence officer short-lived retirement circus british secret service organisation situated london moscow centre infiltrated mole circus likely perpetrator karla smileys old adversary opposite number moscow dead night member cabinet offers smiley job clean stable whatever necessary becomes long bitter battle wits smiley master deceit enigmatic karla,12 hours and 48 minutes,",#1,394 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Espionage Thrillers,#14 in Contemporary Fiction (Audible Audiobooks & Originals),#22 in Crime Thrillers",1394,"contemporary fiction,crime thrillers,espionage thrillers",2,0
the pcos plan prevent and reverse polycystic ovary syndrome through diet and fasting,nadia brito pateguana nd,4.6,71.0,445,author best-selling obesity code joins forces naturopath recovered pcos offer methods prevention reversal,6 hours and 36 minutes,",#2,228 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Infertility,#7 in Pregnancy & Childbirth,#28 in Diets, Nutrition & Healthy Eating",2228,"diets,infertility,pregnancy childbirth",9,2
winners take all the elite charade of changing the world,anand giridharadas,4.5,706.0,752,penguin presents audiobook edition winners take elite charade changing world written read anand giridharadas,9 hours and 36 minutes,",#847 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Political Corruption & Misconduct,#1 in Philanthropy & Charity,#1 in Capitalism",847,"capitalism,philanthropy charity,political corruption misconduct",4,9
the name of the rose,umberto eco,4.2,810.0,1139,hugely engaging story murder superstition religious politics drama medieval monastery one striking novels appear 1980s name rose thrilling story enriched period detail laced tongue-in-cheek allusions fictional characters striking franciscan friar william baskerville displays many characteristics sherlock holmes although looks past postmodern lens eco catapults listeners dark medieval world brother william tries discover people dying inexplicably nastily monastery something altogether right within library pride establishment .... old man adso impressionable novice time tells story,21 hours and 5 minutes,",#1,719 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#5 in Historical Mysteries,#85 in Classic Literature,#962 in Historical Fiction (Books)",1719,"classic literature,historical fiction,historical mysteries",2,5
world war z,max brooks,4.4,1481.8928778228144,721,visceral disturbing chilling realism world war z perhaps famous work worlds foremost expert undead counterparts paired equally gripping zombie survival guide better preparation inevitable uprising,13 hours and 56 minutes,",#2,050 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Post-Apocalyptic Science Fiction,#16 in Horror Fiction,#275 in Horror (Books)",2050,"horror,horror fiction,postapocalyptic science fiction",2,4
my journey transforming dreams into actions,a p j abdul kalam,4.7,1145.0,501,journey transforming dreams actions life story indias 11th president dr. a. p. j. abdul kalam started insignificant little boy rameswaram ended becoming president country besides brilliant scientist well book portrays struggle dr. kalam endure climbed ladder success life,3 hours and 25 minutes,",#813 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Biographies of Presidents & Heads of State,#6 in Biographies of Politicians,#11 in Indian History (Audible Audiobooks & Originals)",813,"biographies of politicians,biographies of presidents heads of state,indian history",6,4
the great influenza the story of the deadliest pandemic in history,john m barry,4.6,2488.0,1093,brought penguin,19 hours and 26 minutes,",#1,926 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Contagious Diseases,#2 in Medicine History & Commentary,#31 in Biological Sciences",1926,"biological sciences,contagious diseases,medicine history commentary",8,8
the effective executive the definitive guide to getting the right things done,peter f drucker,4.6,645.0,1002,commemorative edition peter f. druckers timeless classic work leadership management foreword jim collins,6 hours and 15 minutes,",#400 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#20 in Leadership,#28 in Business Management,#696 in Analysis & Strategy",400,"analysis strategy,business management,leadership",7,0
how to change your mind,michael pollan,4.7,1519.0,888,brought penguin,13 hours and 35 minutes,",#1,812 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Pain Management,#12 in Biographies of Science & Technology Leaders,#26 in Mental Health (Audible Audiobooks & Originals)",1812,"biographies of science technology leaders,mental health,pain management",8,4
peppa pig play days,ladybird,4.9,24.0,342,penguin presents audio download edition peppa pig play days ladybird read john sparkes come join peppa friends explore play collection 10 newly recorded audio stories based hit tv show peppa pig includes dialogue songs sound effects show,40 minutes,",#607 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#7 in Animal Fiction for Children,#7 in Animals for Children,#988 in Children's Literature & Fiction (Books)",607,"animal fiction for children,animals for children,childrens literature fiction",1,2
you can achieve more,shiv khera,4.5,160.0,569,often said person negative attitude helped also true person positive attitude stopped life obstacle course often become biggest obstacle positive attitude transformational,6 hours and 21 minutes,",#2,088 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#306 in Personal Success,#4,410 in Personal Development & Self-Help",2088,"personal development selfhelp,personal success",9,9
made to stick why some ideas survive and others die,charles kahlenberg,4.6,1325.0,754,ideas thrive others die improve chances worthy ideas made stick accomplished educators idea collectors chip dan heath tackle head-on vexing questions inside brothers heath reveal anatomy ideas stick explain ways make ideas stickier applying `` human scale principle '' using `` velcro theory memory '' creating `` curiosity gaps '',8 hours and 37 minutes,",#680 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Words, Language & Grammar (Audible Audiobooks & Originals),#4 in Social Psychology,#7 in Business Communication (Audible Audiobooks & Originals)",680,"business communication,social psychology,words",3,4
365 stories from around the world,om books international,4.0,22.0,668,365 stories around world treasure trove stories around world right barren sands arabia icy cold polar regions antarctica different eras book child travel know culture history different places sitting one place,8 hours and 13 minutes,",#2,083 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Literary Criticism for Children,#23 in Fairy Tales, Folk Tales & Myths for Children,#585 in Children's Traditional Stories (Books)",2083,"childrens traditional stories,fairy tales,literary criticism for children",5,1
